name,def,code
argile,(inv) Généralement blanc grisâtre. Mais peut également correspondre à une teinte crème ocre pâle voire pêche grisâtre ou coquille d'oeuf.,#EFEFEF,
blanc,Couleur de la neige des nuages du coton du lait.,#F9F9F9,
cassé,[blanc ~] (inv) Blanc tirant sur le jaune ou le gris.,#FEFEE2,
coquille d'oeuf,(inv) Blanc légèrement beige-rosé.,#FDE9E0, 
crème,[~ blanc ~] (inv) Blanc légèrement teinté de jaune.,#FDF1B8,
écru,Blanc légèrement teinté de jaune. Couleur de la toile non blanchie.,#FEFEE0,
Espagne,[blanc d'~] (inv) pigment. Blanc légèrement crème.,#FEFDF0,
ivoire,[~ d'~] (inv) Blanc laiteux ou très légèrement gris-jaunâtre comme le vieil ivoire patiné.,#FFFFD4,
lait,[blanc de ~ de ~] (inv) Blanc de la couleur du lait.,#FBFCFA,
lunaire,[blanc ~] (inv) Blanc tirant légèrement sur un bleu froid.,#F4FEFE,	
neige,[~ blanc ~] (inv) Blanc pur et éclatant comme la neige.,#FEFEFE, 
opalin,Qui a une teinte laiteuse et bleuâtre avec des reflets irisés.,#F2FFFF,	
platine,(inv) Blond extrèmement pâle à blanc argenté.,#FAF0C5,
zinc,[blanc de ~] (inv) pigment. Blanc légèrement bleuâtre.,#F6FEFE,
